video_filename,faceoff_time_sec
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1515.8
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1589.645935216667
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1674.4136287643146
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1721.8114971591663
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1786.7034227059326
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1802.5246638728815
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1908.8403836534292
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,1966.115215260668
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2049.169112366989
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2129.8445740266616
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2302.272752745923
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2749.504617912664
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2883.3444439291166
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2931.082544669049
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,2987.9276737008145
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4000.8
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4140.093577012067
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4222.363591452424
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4311.169608851258
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4453.6514417700055
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4480.231082396913
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4519.202477412629
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4557.441569524217
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4679.271927552629
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4775.93082185309
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4920.677020268846
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,4969.611608987252
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5088.155791192451
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5124.527945619028
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5200.696365075511
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5216.39212332288
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5331.662026410496
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5423.810792212879
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5492.221718793308
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5576.497390513813
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5921.6575327396395
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,5984.304403839704
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6064.60281951685
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6123.0238524171455
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6176.313392707978
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6256.155572795183
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6367.650687048112
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6481.994292623235
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6539.813030222302
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6732.764323692249
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6824.955691245563
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,6959.1975267949965
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7021.95848567215
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7080.718327414032
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7201.015613769394
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7384.934724820447
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7501.300444543649
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7637.733244827964
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7691.772521373675
1_тур_06.09.2025_Северная звезда 2014_vs_Созвездие 2014.mp4,7741.615903246579
